A0A384TSM3	79200.A0A175YED7	99.433	99.43	351	2	0	353	353	353	1	353	1	353	0.0	711
A0A384TSM3	4432.D3WC67	99.433	99.43	351	2	0	353	353	353	1	353	1	353	0.0	711
A0A384TSM3	4232.F1KC30	99.150	99.43	350	3	0	353	353	353	1	353	1	353	0.0	711
A0A384TSM3	4096.F1KC21	99.150	99.43	350	3	0	353	353	353	1	353	1	353	0.0	711
A0A384TSM3	3562.P69560	99.150	99.43	350	3	0	353	353	353	1	353	1	353	0.0	711
A0A384SYQ7	3694.A4GYQ5	99.789	100.00	472	1	0	473	473	473	1	473	1	473	0.0	951
A0A384SYQ7	29760.Q0ZJ24	99.577	99.79	471	2	0	473	473	473	1	473	1	473	0.0	950
A0A384SYQ7	4432.F6GPZ4	99.577	99.58	471	2	0	473	473	473	1	473	1	473	0.0	947
A0A384SYQ7	13333.Q70Y07	99.154	99.58	469	4	0	473	473	473	1	473	1	473	0.0	947
A0A384SYQ7	3847.Q2PMT9	99.154	99.58	469	4	0	473	473	473	1	473	1	473	0.0	946
A0A384SYR4	3847.P27066	97.263	98.53	462	13	0	480	475	475	1	475	1	475	0.0	968
A0A384SYR4	180675.A0A4D8Y7S4	95.816	98.33	458	20	0	480	478	478	1	478	1	478	0.0	964
A0A384SYR4	542762.A0A4V3WNX4	96.421	98.53	458	17	0	480	482	475	1	475	8	482	0.0	962
A0A384SYR4	42345.D4PBB9	95.798	98.32	456	20	0	480	484	476	1	476	8	483	0.0	958
A0A384SYR4	3818.A0A445AH34	96.000	97.47	456	19	0	480	482	475	1	475	8	482	0.0	955
A0A384SYS1	79200.A0A175YDH0	100.000	100.00	39	0	0	39	39	39	1	39	1	39	5.29e-23	81.3
A0A384SYS1	29760.Q0ZJ04	100.000	100.00	39	0	0	39	39	39	1	39	1	39	5.29e-23	81.3
A0A384SYS1	4432.D3WC72	100.000	100.00	39	0	0	39	39	39	1	39	1	39	5.29e-23	81.3
A0A384SYS1	3847.Q2PMR8	100.000	100.00	39	0	0	39	39	39	1	39	1	39	5.29e-23	81.3
A0A384SYS1	3694.A4GYS7	100.000	100.00	39	0	0	39	39	39	1	39	1	39	5.29e-23	81.3
A0A384SYS4	4432.D3WC54	96.835	97.47	153	5	0	158	158	158	1	158	1	158	9.73e-114	319
A0A384SYS4	74649.A0A2P6P199	96.203	97.47	152	6	0	158	158	158	1	158	1	158	1.06e-113	319
A0A384SYS4	93759.A0A1R3KZH0	95.570	97.47	151	7	0	158	158	158	1	158	1	158	3.29e-113	318
